/wiki/Aix-en-Issart	Aix-en-Issart	62018	62170	/wiki/Arrondissement_de_Montreuil	Montreuil	/wiki/Canton_d%27Auxi-le-Ch%C3%A2teau	Auxi-le-Château	/wiki/Communaut%C3%A9_de_communes_des_Sept_Vall%C3%A9es	Communauté de communes des Sept Vallées	10.10	268	26.53	Pierre Lafonte	15 m	125 m	
/wiki/Aix-Noulette	Aix-Noulette	62019	62160	/wiki/Arrondissement_de_Lens	Lens	/wiki/Canton_de_Bully-les-Mines	Bully-les-Mines	/wiki/Communaupole_de_Lens-Li%C3%A9vin	Communaupole de Lens-Liévin	10.44	3 909	374.43	Alain Lefèbvre	57 m	172 m	
/wiki/Alembon	Alembon	62020	62850	/wiki/Arrondissement_de_Calais	Calais	/wiki/Canton_de_Calais-2	Calais 2	/wiki/Communaut%C3%A9_de_communes_des_Trois_Pays	Communauté de communes des Trois Pays	8.97	626	69.79	Thierry Guilbert	90 m	191 m	
/wiki/Alette	Alette	62021	62650	/wiki/Arrondissement_de_Montreuil	Montreuil	/wiki/Canton_de_Lumbres	Lumbres	/wiki/Communaut%C3%A9_de_communes_du_canton_d%27Hucqueliers_et_environs	Communauté de communes du canton d'Hucqueliers et environs	13.87	383	27.61	Constant Vasseur	26 m	162 m	
/wiki/Alincthun	Alincthun	62022	62142	/wiki/Arrondissement_de_Boulogne-sur-Mer	Boulogne-sur-Mer	/wiki/Canton_de_Desvres	Desvres	/wiki/Communaut%C3%A9_de_communes_de_Desvres_-_Samer	Communauté de communes de Desvres - Samer	9.88	331	33.50	Jean Picque	33 m	120 m	
/wiki/Allouagne	Allouagne	62023	62157	/wiki/Arrondissement_de_B%C3%A9thune	Béthune	/wiki/Canton_de_Lillers	Lillers	/wiki/Communaut%C3%A9_de_communes_Artois-Lys	Communauté de communes Artois-Lys	7.81	2 992	383.10	André Hennebelle	20 m	100 m	
/wiki/Alquines	Alquines	62024	62850	/wiki/Arrondissement_de_Saint-Omer	Saint-Omer	/wiki/Canton_de_Lumbres	Lumbres	/wiki/Communaut%C3%A9_de_communes_du_Pays_de_Lumbres	Communauté de communes du Pays de Lumbres	10.51	940	89.44	Jean-Marie Allouchery	83 m	211 m	
/wiki/Ambleteuse	Ambleteuse	62025	62164	/wiki/Arrondissement_de_Boulogne-sur-Mer	Boulogne-sur-Mer	/wiki/Canton_de_Desvres	Desvres	/wiki/Communaut%C3%A9_de_communes_de_la_Terre_des_Deux_Caps	Communauté de communes de la Terre des Deux Caps	5.45	1 884	345.69	Arnaud Lelièvre du Broeuille	0 m	77 m	
/wiki/Ambricourt	Ambricourt	62026	62310	/wiki/Arrondissement_de_Montreuil	Montreuil	/wiki/Canton_de_Fruges	Fruges	/wiki/Communaut%C3%A9_de_communes_du_Canton_de_Fruges_et_environs	Communauté de communes du Canton de Fruges et environs	3.39	132	38.94	André Nourry	93 m	138 m	
/wiki/Ambrines	Ambrines	62027	62127	/wiki/Arrondissement_d%27Arras	Arras	/wiki/Canton_d%27Avesnes-le-Comte	Avesnes-le-Comte	/wiki/Communaut%C3%A9_de_communes_de_l%27Atr%C3%A9batie	Communauté de communes de l'Atrébatie	4.68	254	54.27	Fabienne Morvan	107 m	139 m	
/wiki/Ames	Ames	62028	62190	/wiki/Arrondissement_de_B%C3%A9thune	Béthune	/wiki/Canton_de_Lillers	Lillers	/wiki/Communaut%C3%A9_de_communes_Artois-Lys	Communauté de communes Artois-Lys	3.51	657	187.18	Marcel Cocq	52 m	99 m	
/wiki/Amettes	Amettes	62029	62260	/wiki/Arrondissement_de_B%C3%A9thune	Béthune	/wiki/Canton_de_Lillers	Lillers	/wiki/Communaut%C3%A9_de_communes_Artois-Lys	Communauté de communes Artois-Lys	6.82	506	74.19	Corinne Vasseur	62 m	121 m	
